"","GDP..PPP..constant.2011.international...","Employment.in.industry....of.total.employment.","Employment.in.agriculture....of.total.employment.","Total.greenhouse.gas.emissions..kt.of.CO2.equivalent.","Renewable.energy.consumption....of.total.final.energy.consumption.","Fossil.fuel.energy.consumption....of.total.","Energy.use..kg.of.oil.equivalent.per.capita.","CO2.emissions..metric.tons.per.capita.","Population..total","ProtectedAreas","CountryNames","Paris_Agreement_Code","Polityxconst","UNmentions"
"191",17322097686.2449,17.1533359679339,33.576773559502,15125.866879957,60.1084600039408,36.4148111119262,284.739704017581,0.34131933520559,7755516.66666667,21.92,"Tajikistan",1,3,17
"192",100248938455.787,13.8984980133487,52.0494282080523,234754.102449836,89.2789568496228,11.8722998059401,455.051061622629,0.17454803550629,47139077.3333333,26.05,"Tanzania",1,4,4
"193",933012152644.962,20.2999998728434,39.5999997456869,430983.939970076,22.6976510151222,80.1163608023566,1801.71049957242,4.40379089042366,66919704,12.49,"Thailand",1,3,10
"194",2184933977.45786,14.5489762155807,39.4534487723267,949.90462879372,47.808387478952,54.4076530022344,207.878775587585,0.231562863227886,1111919.66666667,2.09,"Timor-Leste",1,4.62022491575268,3
"195",8245636063.09005,16.5378372962763,37.9073256988685,22756.871263327,69.2267349515292,19.7209669847535,475.864298898051,0.365394698067906,6567537,19.75,"Togo",1,3,8
"196",522652722.591098,25.1918348606427,13.2193991970964,155.195281063957,17.7441600801897,75.6676628340394,620.938632425008,1.27582823378086,104369.333333333,1.52,"Tonga",2,7.91723397590779,26
"197",39910029234.8915,28.8782759532869,-12.4429193285901,59717.9570553641,0.34025618494035,99.9289862729664,14749.1742866548,35.0102482523991,1334821.33333333,2.63,"Trinidad and Tobago",1,7,21
"198",111143202223.388,33.0333340962728,16.5666669209798,38704.0391874196,13.5545301586307,88.0076966291872,948.249177181943,2.52198370498403,10666133.3333333,3.68,"Tunisia",1,6,11
"199",1282448132783.72,26.8333333333333,22.4666665395101,434386.804585694,13.3267671166319,89.4140041377729,1514.67148866883,4.29610585118833,73558868.3333333,0.2,"Turkey",1,4,3
"200",57682508013.0202,22.3876954403239,18.3402917615917,89402.1537180601,20.8550630177908,73.2109670402267,4761.46799358575,12.0611979298404,5107202.66666667,3.15,"Turkmenistan",2,1,13
"202",33466126.2385928,18.4532194771651,23.9302211737434,5.17519213949766,42.8806135923347,54.635793558933,1709.81584981641,4.16105243670674,9843.66666666667,0.01,"Tuvalu",2,7.01204769274267,65
"203",55649222523.0615,14.4704656544965,35.2843440371146,80316.7544816279,75.1183463548451,21.5824863076285,1249.3586215568,0.119375832407198,34270126.3333333,16,"Uganda",2,3,0
"204",372547301716.479,25.1880350657611,15.0477618426915,402686.559105651,2.81571518431366,79.7534647881157,2780.8165531908,6.46521195986713,45723366.6666667,3.93,"Ukraine",2,5,3
"205",506327871890.726,25.4173943178795,3.30173032212717,199119.466383249,0.138253085157068,99.9029473074066,7442.77521539365,18.9429395843584,8672239,16.09,"United Arab Emirates",2,5.95888879082864,10
"206",2308827202198.46,19.1333338419597,1.06666668256124,587809.391055392,3.89644404630828,86.4326584399287,3073.2477097505,7.42649805133691,63241861,13.77,"United Kingdom",2,7,7
"207",15551435332210.6,24.4859420804855,-15.0049171469587,6542947.81794175,7.86092225349387,83.8446139788794,7001.08448628166,16.9304315151513,311722781,14.82,"United States",2,7,4
"208",60341798712.2841,19.486367475068,15.8847218487977,33765.5989968926,49.1703924688824,54.8360948486131,1293.56103963473,2.24781985557698,3385592.33333333,1.67,"Uruguay",2,7,11
"209",129690690659.825,23.5776874171397,9.80983483435231,176893.787439657,2.41679914711197,97.9720016782563,1584.20658305982,3.80386099771103,29225433.3333333,3.44,"Uzbekistan",0,1,1
"210",706410548.928851,20.7420678798636,26.1756838116804,440.046390211123,41.6747334242936,60.2743124218736,651.324595678268,0.505732723124986,241891,2.31,"Vanuatu",2,5.87388767438109,38
"216",48304722663.3863,12.3178422651764,47.2797431147417,320021.181900899,90.1360427649365,8.97119128195412,604.358491593039,0.211528393893042,14349182,37.85,"Zambia",1,5,15
"217",21714801158.6364,11.9661490453733,54.0250418339632,71546.2907668022,76.3906320185969,30.0322184117233,712.734900034575,0.788923314075984,14264990.3333333,26.61,"Zimbabwe",1,5,5
