"","Country.code","economic","capacity","ecosystems","exposure","food","governance","habitat","health","infrastructure","sensitivity","social","water"
"140","QAT","0.649999117",1.598909285,2.470367535,2.768790675,1.746450475,3.421183575,1.548990565,0.385925955,2.303160925,2.508656385,1.131836415,3.04835977
"141","ROU","0.570227389",2.046214045,2.810328305,2.09339311,1.821017215,2.62577493,2.073538505,0.859415045,1.186981555,2.16073015,2.56039884,2.79435121
"142","RUS","0.514430546",2.10543828,2.209783735,1.730159315,1.559924085,1.736909425,1.75248937,0.51362988,0.441899055,0.804815635,3.37551997,0.72234251
"143","RWA","0.482884554",3.12256352,3.230001955,3.18657524,3.48660149,2.290724855,3.43971191,3.36400038,2.16743392,2.87838596,0.655080045,2.525220095
"144","KNA","0.557724954",2.116767075,2.1896772,2.68753817,3.61730514,3.30355249,2.465374505,0.95209826,2.758057575,3.03023551,2.29026686,1.697683055
"145","LCA","0.588879541",1.75166367,2.134892395,2.53063303,2.59664058,3.318998065,1.77650923,1.29412167,1.55757607,2.11494998,1.64504178,1.54702317
"146","VCT","0.592697324",2.41104581,2.27311321,2.680747495,3.422484705,3.31434533,1.82892134,1.40597833,3.341443945,2.480851335,2.004509455,1.32423762
"147","WSM","0.610552927",2.051975145,3.47466912,2.829896795,3.37988462,2.948595995,3.504139055,1.717032255,2.052842115,3.802671685,0.62134983,1.40781778
"148","SMR","0.590530148",2.440936425,2.528451585,1.999802735,0.821378865,3.54415777,1.451083875,0.17755452,0,3.359897635,3.93480669,4.94576437
"149","STP","0.310825373",2.57093712,3.329271385,2.927616775,3.407453205,2.07950517,3.34212831,3.28132216,2.25740191,3.80901399,1.23903406,2.021875245
"150","SAU","0.681168187",2.625691645,1.87563871,2.516815425,3.1417789,2.44765356,2.21230435,0.910900575,0.58169133,1.278477595,1.74542286,3.383270685
"151","SEN","0.292985933",3.21238274,2.187610645,2.55923655,3.96278073,2.222313675,2.78990067,2.720090895,2.38467981,2.592739425,1.13108899,2.683654685
"152","SRB","0.505384265",2.11325734,2.31540555,2.375166475,1.979505305,2.172745985,2.07109317,0.712666715,1.350696725,2.139666775,2.53004528,2.66793026
"153","SYC","0.587560817",1.46974726,2.12021532,3.19888615,2.845219645,2.64832264,1.93281377,1.05856774,2.93941675,2.84146428,1.27548486,0.238835815
"154","SLE","0.371940639",4.156318615,3.429327785,2.46350198,3.49557277,1.75011384,3.524502455,3.401098635,2.06116969,2.696564135,1.06725226,2.57482136
"155","SGP","0.927454457",1.412632695,1.700259595,2.78297651,1.657518475,4.24854675,2.060083715,0.493637615,2.48264105,2.283042075,3.707065735,1.557597085
"156","SVK","0.636461143",2.180014895,1.50092065,2.230813515,1.88749498,3.18943617,1.314826265,0.508702165,1.39968125,1.926795005,2.511708085,2.982019175
"157","SVN","0.628625484",1.319592335,1.39527706,1.96383283,1.94787219,3.385819515,1.3248527,0.27352435,0.942897955,2.265409725,4.06561866,2.703499905
"158","SLB","0.524689245",3.54045224,3.42405763,2.861593935,3.80354081,2.01738599,3.771042945,2.932201235,3.67834773,4.00546831,0.31156148,1.840856605
"159","SOM","#DIV/0!",4.71565154,3.86450705,2.74285941,4.383941815,0.24421252,3.52667949,3.53228897,1.62610735,3.591997075,0.18585773,3.777334695
"160","ZAF","0.633946474",2.850425135,2.7907184,2.48003453,2.44056379,2.673084305,1.821212905,1.486782335,0.69969169,0.98254879,1.017932035,2.670329745
"161","ESP","0.633323541",1.82902679,1.67635334,1.849844225,2.074935765,3.268374895,1.05357251,0.26882118,1.545833595,1.173209905,3.02018702,2.02144034
"162","LKA","0.507422708",2.56432166,2.23557975,2.22684849,3.17918475,2.103013735,3.111614155,1.39474651,1.54408658,2.26189762,1.301934965,1.72531723
"163","SDN","0.396385061",4.196967835,3.986677205,2.796459215,4.500948005,0.91277598,2.803247765,3.11124432,1.548375975,2.694640745,1.03188546,4.00691318
"164","SUR","0.341320166",1.732566525,2.43684653,2.263846285,1.974119285,2.27355947,2.711151745,1.114290525,1.918081805,2.29893787,1.230497815,1.371777375
"165","SWZ","0.433018979",3.30083428,3.1392204,2.447418115,3.29798469,2.07975285,2.46177287,2.17129619,2.6644445,2.872624675,0.66785606,3.159848695
"166","SWE","0.787201005",1.533227705,2.070407725,1.93383069,1.237906445,4.252003535,2.61699636,0.120440075,0.96082464,0.88055807,4.42777911,1.0616421
"167","CHE","0.717758208",1.03585089,0.70484279,2.099683385,1.34796199,4.210403285,1.46120082,0.11836968,1.234739325,1.095057505,3.872750155,2.3578525
"168","SYR","0.394400299",2.754934085,3.286398935,2.211956635,3.20738835,1.40540364,1.830332065,1.15219897,0.877157365,2.224271505,1.459595015,3.73008016
"169","TJK","0.359307559",2.30151373,3.21208698,2.0193279,2.85152614,1.42008014,1.96695275,1.01588811,0.907402675,2.740930795,1.3393516,2.46929589
"170","TZA","0.43871155",3.66075773,2.714868695,2.40331289,3.449314835,2.09486331,2.98623271,3.453935195,1.567499855,2.4056031,1.052337425,2.386640925
"171","THA","0.746389667",1.783093365,2.60212294,2.31826721,2.12752932,2.154666025,1.50486543,1.352100375,1.69103685,1.737511005,1.936979065,2.400088235
"172","TLS","0.377533392",3.33139559,3.640431295,2.68769774,3.662126625,1.542730395,3.67767591,3.6806937,2.11592852,3.335210195,1.59357072,2.099767975
"173","TGO","0.318281447",4.01249074,2.7597534,2.74112233,3.54206391,1.70259498,3.4400274,2.830042995,1.98395757,2.052325265,0.965507125,3.056031385
