"","Time","female.leaders","female.labor.partic.rate","female.part.time.of.female","female.part.time.of.total.part","female.male.labor.partic.rate","female.vul.employ","female.paid.employ","female.parliament.seat","pop.growth","new.born","GDP.pc","gov.educational.expend","female.2edu.labor","male.2edu.labor","female.3edu.labor","male.3edu.labor","female.labor.of.total","female.unemploy","male.unemploy","total.unemploy"
"44",2007,33.84399154,46.59999847,29.29999924,80.69999695,76.26841185,9.300000191,88.5,35.3,0.734330831,111734,45015.86684,5.567450047,37.40000153,40.79999924,41.5,32.40000153,44.7507579,8.5,6.699999809,7.5
"45",2008,32.67763557,46.90000153,29.60000038,81.30000305,77.26524042,8.699999809,89.19999695,35.3,0.789976845,109905,44995.3215,6.00466013,38.90000153,42.09999847,41.40000153,32.5,45.02997507,7.599999905,6.5,7
"46",2009,33.98566888,46.90000153,28.39999962,80.59999847,77.90697829,9,88.69999695,38,0.804599573,108185,43614.89205,6.101309776,38.70000076,42,42.90000153,33.5,45.27169005,8.100000381,7.699999809,7.900000095
"47",2010,34.10193515,47.59999847,28.89999962,80.40000153,78.54785425,8.399999619,89.19999695,39.3,0.913639392,107025,44382.87977,6.096010208,36.79999924,40.29999924,44.29999924,34.40000153,45.41986482,8.5,8.100000381,8.300000191
"48",2011,29.91664197,46.79999924,30,79.90000153,78.78787548,8.600000381,89.5,38,1.386849113,106545,44558.1095,6.046000004,37.90000153,41.09999847,44.29999924,34.29999924,45.3870563,7.199999809,7,7.099999905
"49",2012,24.4795642981273,46.90000153,29.89999962,79.80000305,78.9562295,8.399999619,89.5,38,0.726031655,106578,44305.95815,5.97799508860316,37.20000076,41,45.70000076,34.90000153,45.45244751,7.400000095,7.599999905,7.5
"50",2013,30.2693427342347,47.5,29.60000038,80.80000305,80.10118147,8.399999619,89.30000305,38,0.489184301,106955,44091.09703,4.90479483578945,38,41.79999924,45.40000153,35,45.73660163,8.100000381,8.600000381,8.399999619
"51",2014,25.8868122120145,47.59999847,28.5,79.09999847,80.26981296,8.5,89.09999847,39.3,0.431837338,-1496782.95250626,44469.83286,5.56742948227441,36.40000153,41.20000076,47.5,36.29999924,45.78468092,8.399999619,8.5,8.5
"52",2015,29.2951789326357,59.961339289137,35.7618447892455,70.782932609805,83.4110102490406,13.5457418200084,84.6113802322055,39.3,0.484152118,107718,44863.08818,6.50745965877196,60.6893055870592,65.4067283874161,36.8557408287475,36.9081705724918,50.2138778071871,1.01898055033571,2.12313854631675,2.04473117631485
"53",1990,16.1106022810016,44.59999847,40.3713343330642,69.356623982763,52.22482164,29.89999962,68,5.3,0.762001611,81391,33788.86225,5.37304310365123,48.8283745324541,51.0798937573195,36.7469784784839,35.346578382233,40.87834074,-1.03726838858205,2.11083194826286,1.14878228255432
"54",1991,18.3655268613561,48.79999924,21.0081235388838,66.677156188508,56.94282494,25.6854999360809,70.3702447614255,8.42449317031891,0.998418103,82997,34604.52068,4.52209490912701,57.70000076,67.5,7.099999905,7.099999905,41.0564226,3.5,3.299999952,3.400000095
"55",1992,8.19046734853189,53.09999847,13.972106981302,63.6583255280557,61.74418427,38.29999924,60,-1.47328553687455,1.100552287,87158,34942.29275,0.834492235389726,57.3618105077555,58.8203311315371,23.2485989993876,23.0895657925946,41.62928089,3.799999952,3.5,3.599999905
"56",1993,21.4124739549232,53,21.4800012277645,63.2992274124227,61.91588895,38,60.40000153,1.11136651535881,0.824627941,92306,34837.90123,-2.13558618870314,52.8603469508098,54.7809726063442,17.076010300744,20.8646367418805,41.96046657,4.599999905,4.099999905,4.300000191
"57",1994,30.9654891643505,53.59999847,15.039735942107,66.6887415331134,62.91079858,18.8629451545898,77.4461777592616,11.3401921283389,0.384869547,96181,35537.71162,4.0329033277682,59.70000076,67,7.699999809,8.399999619,42.90697211,3.900000095,3.200000048,3.5
