"","Time","female.leaders","female.labor.partic.rate","female.part.time.of.female","female.part.time.of.total.part","female.male.labor.partic.rate","female.vul.employ","female.paid.employ","female.parliament.seat","pop.growth","new.born","GDP.pc","gov.educational.expend","female.2edu.labor","male.2edu.labor","female.3edu.labor","male.3edu.labor","female.labor.of.total","female.unemploy","male.unemploy","total.unemploy"
"59",1996,15.5394492892425,52.20000076,20.7037404570308,69.3707682811835,62.9674304,34.59999847,63.29999924,25.9329912600929,0.135019834,94809,37253.4058,5.30642193150036,60.90000153,70.59999847,8.300000191,8.899999619,42.96889834,4.400000095,3.799999952,4.099999905
"60",1997,18.6384572957252,53.20000076,36.9929708842357,71.6913870542676,63.94231095,28.6253364066663,70.3201986590747,6.6,0.113316608,89625,38031.73002,-0.294251621028953,63.70000076,71.59999847,8.300000191,9.300000191,43.08238581,4.599999905,3.900000095,4.199999809
"61",1998,25.1449607941637,53.59999847,17.1108160979883,69.7141155563148,64.73429529,15.2424990801351,82.7262622418669,6.6,0.109728368,83073,39342.4535,5.830599785,64.59999847,72.19999695,8.600000381,9.100000381,43.16942885,4.5,3.900000095,4.199999809
"62",1999,39.7992124347072,55.09999847,30.5820422984174,58.7353360030632,66.62636095,32.8600327564902,63.3825392777752,5.7,0.194563153,77198,40675.62595,5.835859776,61.29999924,64.80000305,12.69999981,16.60000038,43.22120885,3.799999952,3.599999905,3.700000048
"63",2000,31.21918318,54.90000153,35.1827412995955,81.1233783185932,66.86967423,22,73.5,5.7,0.240466652,73455,41944.76233,5.250830173,61.70000076,65.5,13.5,16.5,43.32660907,3.799999952,3.299999952,3.5
"64",2001,20.1719469085802,54.70000076,28.39999962,69.09999847,67.11656535,32.59999847,64.90000153,6.8,0.382799394,72318,42348.81142,5.269070148,62.59999847,66,14,16.79999924,43.66812586,3.799999952,3.400000095,3.599999905
"65",2002,32.59837234,56.20000076,30,69.5,68.7882532,32.90000153,64.40000153,6.2,0.491980464,73249,42838.76864,5.167459965,59.40000153,65.59999847,17.70000076,17.60000038,44.09926873,3.900000095,4.099999905,4
"66",2003,33.8556295,56.59999847,29.70000076,68.69999695,69.53316636,32.59999847,64.80000305,8.6,0.487133895,75462,42952.94798,5.102379799,59.90000153,66.69999695,17.10000038,17.20000076,44.38761964,4.199999809,4.400000095,4.300000191
"67",2004,33.89858317,57.59999847,29.70000076,68.5,70.41564343,32,65.5,8.6,0.620413127,77730,43842.29552,4.925640106,63.5,62.59999847,16.39999962,21.29999924,44.8927075,5.300000191,4.5,4.900000095
"68",2005,35.4339538,58.90000153,30.79999924,68.69999695,71.74178151,25.29999924,64.80000305,8.6,0.681267248,79170,44476.77969,4.885369778,63.40000153,64.30000305,16.70000076,19.39999962,45.12246521,5.5,4.900000095,5.199999809
"69",2006,35.18245096,58.70000076,30.60000038,68,71.84822883,24.20000076,66,8.8,0.494797775,79574,45740.23904,4.748300076,63.90000153,65.40000153,16,19.29999924,45.35353477,5.199999809,4.300000191,4.699999809
"70",2007,36.07842912,58.40000153,29.10000038,67.59999847,71.92118685,24,67.19999695,9,0.324146535,79254,47243.34045,4.676169872,63.20000076,65,15.5,19.20000076,45.25430048,5,3.900000095,4.400000095
"71",2008,18.5914237774127,58.5,28.70000076,67.80000305,71.86732052,22.60000038,68.09999847,9,0.313041438,78447,47824.37489,4.767849922,64.5,65.59999847,16,19.29999924,45.66181253,4.099999905,3.599999905,3.799999952
"72",2009,35.95071428,58.90000153,28.10000038,67.5,72.53695042,22.39999962,69.19999695,8.8,0.26195319,77567,45887.13062,5.172420025,63.90000153,65.40000153,17.39999962,20.10000038,46.06666131,4.5,5,4.800000191
"73",2010,19.8445380112898,59.40000153,17.797139360449,66.137976463938,73.24291325,18.1818445668342,78.9814374097543,8.6,0.2403943,76916,46659.84082,5.102719784,64.80000305,65.5,17.60000038,20.29999924,46.07067614,4.199999809,4.599999905,4.400000095
