"","Time","Country.Name","GDP..PPP..constant.2011.international...","Employment.in.industry....of.total.employment.","Employment.in.agriculture....of.total.employment.","Total.greenhouse.gas.emissions..kt.of.CO2.equivalent.","Renewable.energy.consumption....of.total.final.energy.consumption.","Fossil.fuel.energy.consumption....of.total.","Energy.use..kg.of.oil.equivalent.per.capita.","CO2.emissions..metric.tons.per.capita.","Population..total"
"334",3,"Macao SAR, China",64148196571.8922,12.8999996185303,0.200000002980232,1626.73889331222,0.182574935449807,111.334175269697,565.147475485211,4.31307597469827,546682
"335",3,"Macedonia, FYR",24049477821.1181,30.2999992370605,18.1000003814697,12645.7140398317,17.822637051876,82.1130245526599,1511.24601140042,4.54406047181648,2065888
"336",3,"Madagascar",29735787033.419,14.1505922174397,38.1663231323694,117586.217732155,78.8537331510289,26.2405412027709,-132.432076192543,0.106734221857628,21678867
"337",3,"Malawi",16427533195.5102,16.7328309107536,38.1678735117317,21525.7616594699,79.2444554755884,19.6288066171569,1461.85833428643,0.0780273587125553,15226813
"338",3,"Malaysia",624786298313.787,28.8999996185303,11.5,271818.836761596,6.54437330194014,94.7480842801589,2717.39976628261,7.71376006764435,28572970
"339",3,"Maldives",4194858489.01499,17.4450409155815,4.58003835688314,706.853988130539,3.23934627940904,115.995362697425,409.282419135289,2.52896551724138,377000
"340",3,"Mali",29134739169.0792,13.2030560089886,26.5486783731758,77134.1826164302,83.8728138077592,4.30061030029579,719.57409627517,0.0668257123245145,15639115
"341",3,"Malta",11729422238.3538,24.5,1.10000002384186,2025.45733335841,0.995532050976647,99.0966031839572,1964.8711887534,6.05194009628412,416268
"342",3,"Marshall Islands",184170375.016325,18.6135834541058,20.9850454172019,7.8784185339,32.7130899189292,66.8238104862823,330.007151095386,1.95420719057498,52541
"343",3,"Mauritania",12535969841.7305,15.7655854885095,23.4477237342918,13153.8609240339,33.2825908153162,69.3574164761691,-418.598751196946,0.650124171207755,3683221
"344",3,"Mauritius",20263009431.345,28.2000007629395,7.59999990463257,3441.62204183213,3.36485891150297,82.4397083567022,1053.50988977998,3.12999878633412,1252404
"345",3,"Mexico",1896258212126.06,24.1000003814697,13.3999996185303,652861.29145972,9.63166989165226,89.191028857482,1525.35269911867,3.87802694350267,120365271
"346",3,"Micronesia, Fed. Sts.",352882555.847251,7.86675560138788,24.5888592219341,41.03113789,30.3052091878237,96.7798799449806,14.4767900822276,1.24033592330589,103476
"347",3,"Moldova",14877946210.3745,18.7000007629395,27.5,11433.4868914836,4.38451434918518,91.159670776419,971.407471827136,1.41530275680859,3559986
"348",3,"Monaco",-54985093845.8682,22.7297872931496,-20.7511096099044,-136959.932353914,-7.25211775406482,92.7428920139442,5687.43850598695,12.7859109475864,37189
"349",3,"Mongolia",24526362150.3039,17.2999992370605,33,25428.9476397532,3.5439791155586,95.2563683185823,1564.48286635299,9.99725777561602,2759074
"350",3,"Montenegro",8814769721.3662,18.8999996185303,5.59999990463257,401992.325459398,43.1886771152975,63.0441155047381,1815.52995666681,4.14554758345308,620079
"351",3,"Morocco",223034630236.893,21.7999992370605,39.7999992370605,78381.399786628,11.7989746098004,89.0567850200288,560.440740681995,1.77319687799974,32531964
"352",3,"Mozambique",23811739934.0183,4.37906668827996,50.5662965829599,380073.237805556,88.9293416422434,9.10803815272205,410.655771747451,0.128844512879902,25016921
"353",3,"Myanmar",481903151547.805,7.49229331702532,53.4322485882417,526919.838488792,84.5191515885729,20.9542578147743,273.821553176818,0.274292954735647,52125411
"354",3,"Namibia",19322996884.943,16.6000003814697,29.7999992370605,37855.6522446755,33.4225006895249,65.7814366287538,715.326264496168,1.26044065582786,2240161
"355",3,"Nauru",438772250326.181,14.7121189719738,27.6852151610359,4.50535379689799,24.5954192857416,76.3945541038067,1941.34263015966,4.01642935377875,10043
"356",3,"Nepal",55503825716.8332,15.5785944054075,49.5435671496261,33160.9713713475,86.9455155016799,12.9866257833687,388.848995282686,0.203593022129356,27179237
"357",3,"Netherlands",774363217659.84,15.3999996185303,2.40000009536743,200143.54444018,4.36388832310723,92.3206659361961,4637.76701642849,10.3276567275746,16693074
"358",3,"New Caledonia",1026829325125.23,31.2473221537349,24.7794506153468,1616.70937034626,4.00568831727479,90.3048658935487,5015.30663765288,14.3648228346457,254000
"359",3,"New Zealand",143507535760.794,20.2999992370605,6.90000009536743,75851.1222399306,32.199223363926,59.7915734829231,4177.19730839416,7.18594822080292,4384000
"360",3,"Nicaragua",24528765812.9445,33.4915921726991,23.0047100224426,16068.6412130905,51.4944496968777,48.6137322878676,527.154663213372,0.840384986570616,5807787
"361",3,"Niger",13679084420.6116,15.1111360374003,53.0258352504811,11342.1190258822,81.2749467804239,24.1928642321406,114.213478488312,0.0783321142998091,16946485
"362",3,"Nigeria",856618673550.592,21.4879394455972,52.2289509492976,296799.948975518,86.1695466179107,18.9856648495815,775.038416677653,0.586757907180559,163770669
"363",3,"Northern Mariana Islands",347282287432.575,24.2194817140696,17.555635277094,12.3661486251,25.6301859145181,56.0601882314196,5646.74775479563,16.3131113230291,53234
"364",3,"Norway",310740299177.242,20.3999996185303,2.20000004768372,64181.1477579667,56.6191862277655,57.2938439115153,5652.42652664358,9.12476721592671,4953088
"365",3,"Oman",136358363675.009,22.5164799576331,11.0981080912962,60705.5913108149,-1.57042624823822,100,7155.12259645863,17.5124789603,3210003
"366",3,"Pakistan",750693024684.963,21.2000007629395,45.0999984741211,362475.094356567,45.129526148454,60.8437913739964,488.938003720719,0.932851893613558,173669648
"367",3,"Palau",266804583.498575,16.4594471859872,10.4387645763327,1.37514060552,2.67902381354501,102.470169325246,4253.51397596653,10.8554304571484,20606
"368",3,"Panama",62809393882.587,18.6000003814697,17,15860.4557625829,22.2092691872969,79.7098845880993,1102.19178327742,2.74279619737103,3681979
"369",3,"Papua New Guinea",16418209555.3196,11.8210515545454,21.7312231160337,10888.0894662948,53.4069179427052,39.9412643203364,217.04711373772,0.746895234112231,7001172
"370",3,"Paraguay",47232661525.6067,17.5,26.3999996185303,50445.1164029722,63.1114379927601,33.6371116699694,774.705688790633,0.845411083957245,6293763
"371",3,"Peru",308884153438.685,23.7000007629395,5.41595625998177,73289.702901321,29.5472591623523,75.9199301518594,692.788122107033,1.66777643775644,29759891
"372",3,"Philippines",543770720548.511,14.8999996185303,33,163797.78766544,29.4105609182024,59.563870601507,426.955233483567,0.905640172970018,94501233
"373",3,"Poland",857184989822.495,31,12.3999996185303,422791.468168537,10.5797832627311,92.1183798905688,2654.49397325583,8.32817587460663,38063255
"374",3,"Portugal",284340514750.743,28.2000007629395,6.5,71977.8870090626,27.1624980381712,75.6590375736355,2163.94375215485,4.51082721765256,10557560
"375",3,"Puerto Rico",125796598245.822,13.5,1.60000002384186,3247.52000136847,1.00011681508173,86.9309541632026,751.522212405671,1.00803814828199,3678736
"376",3,"Qatar",255552315250.751,54.2000007629395,1.39999997615814,100891.323358578,-26.3481561883144,100,16424.5792435016,42.2137520159418,1905437
"377",3,"Romania",355091676628.301,29.8999996185303,26,126194.415552348,21.1127321392619,77.6518382039965,1777.10615416442,4.21256220614261,20147528
"378",3,"Russian Federation",3441692056998.75,27.5,7.69999980926514,2777724.31014007,3.22775687220058,90.9228637774668,5057.52088746411,12.3675339324325,142960868
"379",3,"Rwanda",14749703249.8507,10.5169564266948,50.8588202951335,6620.24670057814,86.7516151627137,17.9531066500831,539.833089220498,0.0628741973256297,10556429
"380",3,"Samoa",1063589611.12987,12.1999998092651,37,348.882192362577,23.1520742110294,87.2066827465566,196.003832339336,1.25211007608011,187434
